DeltaTs,Gamma
46438,-0.2701
46426,-0.2317
46415,0.4994
46403,-0.9045
46393,-1.467
46391,1.3253
46381,1.1669
46379,-1.5183
46369,-0.7231
46358,0.5166
46346,0.0609
46334,-0.1863
46322,0.8091
46310,-0.9265
46301,-1.0699
46299,1.4907
46289,1.3116
46277,-0.3875
46265,0.5182
46253,0.346
46242,-0.2421
46230,1.0749
46218,-0.9623
46208,-1.2517
46196,0.8616
46185,-0.5096
46173,0.0987
46161,0.1768
46149,-0.6733
46138,0.846
46128,1.3284
46126,-1.4035
46116,-1.2711
46104,0.5312
46093,-0.5977
46081,-0.1975
46069,0.1151
46057,-0.9309
46046,0.8332
46036,1.1451
46024,-1.0663
46022,1.4996
46012,0.471
46000,-0.3407
45989,-0.2249
45977,0.4248
45965,-0.9018
45955,-1.5543
45953,1.2453
45944,1.1691
45942,-1.517
45932,-0.8065
45920,0.5237
45908,-0.0139
45897,-0.1747
45885,0.7436
45873,-0.9053
45863,-1.1099
45862,1.4354
45852,1.3569
45840,-0.423
45828,0.5677
45817,0.3168
45805,-0.1865
45793,1.0502
45781,-0.9033
45772,-1.25
45760,0.9435
45748,-0.506
45736,0.1869
45725,0.1785
45713,-0.5839
45701,0.8487
45692,1.389
45690,-1.3203
45680,-1.2916
45668,0.5876
45656,-0.6263
45645,-0.1456
45633,0.0794
45621,-0.889
45610,0.7919
45600,1.1713
45588,-1.1238
45586,1.454
45577,0.4901
45565,-0.4077
45553,-0.2134
45541,0.3533
45530,-0.8949
45518,1.1676
45508,1.169
45506,-1.5144
45497,-0.8919
45485,0.5271
45473,-0.0923
45462,-0.1688
45450,0.6719
45438,-0.8914
45428,-1.1573
45426,1.3744
45417,1.3938
45415,-1.566
45405,-0.4649
45393,0.61
45382,0.2811
45370,-0.1359
45358,1.0192
45347,-0.8494
45337,-1.2518
45325,1.0223
45314,-0.505
45302,0.2734
45290,0.1792
45279,-0.4945
45267,0.852
45257,1.4542
45255,-1.2352
45246,-1.3058
45234,0.6496
45222,-0.6477
45211,-0.0878
45199,0.0521
45187,-0.839
45176,0.7585
45166,1.2051
45154,-1.1756
45153,1.4157
45143,0.5161
45131,-0.4692
45120,-0.1977
45108,0.2846
45096,-0.8854
45085,1.0914
45075,1.1685
45073,-1.5092
45063,-0.9784
45052,0.5284
45040,-0.1717
45028,-0.1649
45017,0.5983
45005,-0.8816
44996,-1.2114
44994,1.3086
44984,1.423
44982,-1.5481
44972,-0.5156
44961,0.6444
44949,0.2352
44937,-0.0934
44926,0.9793
44914,-0.8011
44905,-1.2579
44893,1.0997
44881,-0.507
44870,0.3594
44858,0.1788
44847,-0.406
44835,0.8553
44825,1.521
44823,-1.1505
44814,-1.3152
44802,0.7158
44790,-0.663
44779,-0.0247
44767,0.0317
44756,-0.7834
44744,0.7326
44734,1.2457
44723,-1.2216
44721,1.3838
44711,0.5491
44700,-0.5249
44688,-0.1741
44677,0.2216
44665,-0.8696
44653,1.0195
44644,1.1693
44642,-1.4998
44632,-1.0637
44620,0.5283
44609,-0.2538
44597,-0.1649
44586,0.5213
44574,-0.8763
44565,-1.2716
44563,1.2395
44553,1.444
44551,-1.5362
44541,-0.5721
44530,0.6724
44518,0.183
44507,-0.057
44495,0.9312
44484,-0.7596
44474,-1.2694
44463,1.1718
44461,-1.5248
44451,-0.5141
44439,0.4409
44428,0.1747
44416,-0.3194
44405,0.8567
44393,-1.0668
44384,-1.3215
44372,0.7853
44361,-0.6726
44349,0.0431
44337,0.0182
44326,-0.7212
44314,0.7144
44305,1.2954
44303,-1.5388
44293,-1.2603
44291,1.36
44282,0.5892
44270,-0.5746
44259,-0.1448
44247,0.1634
44236,-0.8487
44224,0.9506
44214,1.1714
44213,-1.4864
44203,-1.147
44191,0.5296
44180,-0.3336
44168,-0.1653
44157,0.4441
44145,-0.8727
44136,-1.3369
44134,1.1681
44124,1.4585
44122,-1.5275
44113,-0.6371
44101,0.6925
44090,0.1217
44078,-0.0279
44067,0.8748
44055,-0.725
44046,-1.2871
44034,1.2402
44032,-1.4863
44023,-0.5261
44011,0.5188
44000,0.1665
43988,-0.237
43977,0.8559
43965,-0.9851
43956,-1.3252
43944,0.8566
43933,-0.6781
43921,0.1144
43910,0.0099
43898,-0.6552
43887,0.7011
43877,1.3514
43875,-1.4763
43866,-1.2926
43864,1.342
43854,0.638
43843,-0.6177
43831,-0.1069
43820,0.1125
43808,-0.8198
43797,0.8889
43787,1.1769
43785,-1.4674
43776,-1.2276
43764,0.532
43753,-0.4126
43742,-0.1654
43730,0.3658
43719,-0.8709
43709,-1.4065
43707,1.0951
43698,1.4674
43696,-1.5214
43686,-0.7065
43675,0.7067
43663,0.0534
43652,-0.005
43640,0.8112
43629,-0.6972
43619,-1.3118
43618,1.5127
43608,1.3015
43606,-1.4549
43597,-0.5444
43585,0.5912
43574,0.1528
43562,-0.1592
43551,0.8495
43539,-0.9074
43530,-1.3285
43518,0.9288
43507,-0.6816
43496,0.1886
43484,0.0064
43473,-0.583
43461,0.6941
43452,1.4157
43450,-1.4066
43440,-1.3183
43438,1.3299
43429,0.6938
43418,-0.6537
43406,-0.0635
43395,0.0669
43383,-0.7858
43372,0.8327
43362,1.1869
43360,-1.4425
43351,-1.3031
43349,1.56
43340,0.5379
43328,-0.4875
43317,-0.1623
43305,0.29
43294,-0.8678
43284,-1.4802
43283,1.0213
43273,1.4709
43271,-1.5165
43262,-0.7818
43250,0.7148
43239,-0.0214
43227,0.0102
43216,0.7404
43205,-0.6763
43195,-1.3429
43193,1.4511
43184,1.3569
43182,-1.4302
43172,-0.5698
43161,0.657
43150,0.1335
43138,-0.087
43127,0.8391
43116,-0.8339
43106,-1.332
43095,1.0015
43093,-1.5239
43083,-0.6838
43072,0.2636
43061,0.0044
43049,-0.5094
43038,0.6901
43028,1.4854
43026,-1.333
43017,-1.3381
43015,1.3223
43006,0.7566
42994,-0.6822
42983,-0.0113
42972,0.0302
42960,-0.744
42949,0.784
42939,1.2024
42937,-1.4111
42928,-1.373
42926,1.5009
42917,0.5483
42905,-0.5598
42894,-0.1566
42883,0.216
42871,-0.8628
42860,0.9488
42851,1.47
42849,-1.5121
42839,-0.8605
42828,0.7184
42817,-0.1011
42805,0.0209
42794,0.6631
42782,-0.6615
42773,-1.3808
42771,1.3838
42762,1.4057
42760,-1.4111
42750,-0.6022
42739,0.7161
42728,0.1064
42716,-0.0216
42705,0.8212
42694,-0.7668
42684,-1.3391
42673,1.0723
42671,-1.4564
42662,-0.6864
42650,0.3401
42639,0.0048
42628,-0.4321
42616,0.6895
42607,1.5615
42605,-1.2547
42596,-1.3514
42594,1.3189
42584,0.8244
42573,-0.705
42562,0.0456
42550,-0.0004
42539,-0.6959
42528,0.7422
42518,1.2239
42517,-1.3735
42507,-1.436
42505,1.4493
42496,0.5652
42485,-0.6253
42473,-0.1456
42462,0.1456
42451,-0.8539
42439,0.8784
42430,1.4672
42428,-1.505
42419,-0.9428
42408,0.7181
42396,-0.1855
42385,0.0269
42374,0.5808
42362,-0.6527
42353,-1.4261
42351,1.3094
42342,1.4472
42340,-1.3988
42330,-0.6416
42319,0.7672
42308,0.0732
42297,0.0361
42285,0.7981
42274,-0.7049
42265,-1.3486
42254,1.1413
42252,-1.3935
42242,-0.6918
42231,0.4148
42220,0.0036
42208,-0.3555
42197,0.6886
42186,-1.1748
42177,-1.3602
42175,1.3177
42165,0.899
42154,-0.7208
42143,0.1098
42132,-0.0232
42120,-0.6407
42109,0.7087
42100,1.252
42098,-1.3292
42088,-1.4927
42087,1.405
42077,0.5875
42066,-0.6856
42055,-0.1287
42043,0.0796
42032,-0.8414
42021,0.8105
42012,1.4632
42010,-1.4956
42000,-1.0261
41989,0.716
41978,-0.2735
41967,0.0298
41956,0.4952
41944,-0.6476
41935,-1.4765
41933,1.232
41924,1.4811
41922,-1.3919
41913,-0.6876
41901,0.811
41890,0.0323
41879,0.0854
41868,0.7659
41856,-0.6514
41847,-1.3642
41845,1.5526
41836,1.2069
41834,-1.3363
41825,-0.7005
41814,0.4884
41802,0.0015
41791,-0.2775
41780,0.6885
41769,-1.0933
41759,-1.3649
41758,1.3175
41748,0.976
41737,-0.7313
41726,0.1778
41715,-0.0402
41703,-0.5805
41692,0.6823
41683,1.2872
41681,-1.2789
41672,-1.5404
41670,1.3692
41661,0.617
41649,-0.7391
41638,-0.1047
41627,0.0193
41616,-0.8213
41605,0.7465
41595,1.4602
41594,-1.4807
41584,-1.1099
41582,1.5328
41573,0.7137
41562,-0.3627
41551,0.0296
41539,0.4057
41528,-0.6471
41519,-1.5327
41517,1.1501
41508,1.5081
41506,-1.3898
41497,-0.7405
41486,0.8463
41474,-0.0146
41463,0.1279
41452,0.728
41441,-0.6041
41432,-1.3854
41430,1.5213
41421,1.2685
41419,-1.2853
41409,-0.7145
41398,0.5578
41387,-0.0054
41376,-0.203
41365,0.6857
41354,-1.0116
41344,-1.3666
41342,1.3172
41333,1.0571
41322,-0.737
41311,0.2512
41300,-0.0506
41289,-0.5149
41278,0.6625
41268,1.3291
41266,-1.2229
41255,1.3406
41246,0.6544
41235,-0.7859
41224,-0.0733
41213,-0.0353
41201,-0.7951
41190,0.6876
41181,1.4583
41179,-1.4616
41170,-1.1934
41168,1.4717
41159,0.7115
41148,-0.4519
41137,0.0296
41126,0.3163
41114,-0.6486
41103,1.0674
41094,1.5296
41092,-1.3904
41083,-0.7985
41072,0.8744
41061,-0.0696
41050,0.161
41039,0.6815
41028,-0.5657
41018,-1.4143
41016,1.4816
41007,1.3244
41005,-1.242
40996,-0.7337
40985,0.6244
40974,-0.0155
40963,-0.1298
40952,0.6801
40941,-0.9312
40931,-1.3664
40929,1.3157
40920,1.1387
40909,-0.74
40898,0.3262
40887,-0.0567
40876,-0.4451
40865,0.6488
40856,1.3777
40854,-1.1623
40843,1.3186
40833,0.6992
40822,-0.8246
40811,-0.0336
40800,-0.0834
40789,-0.7606
40778,0.6349
40769,1.4605
40767,-1.4347
40758,-1.274
40756,1.4162
40747,0.7109
40736,-0.5404
40725,0.0292
40714,0.2263
40703,-0.6516
40692,0.9819
40682,1.5447
40680,-1.394
40671,-0.8613
40660,0.8956
40649,-0.1289
40638,0.1868
40627,0.629
40616,-0.5338
40607,-1.4497
40605,1.4347
40596,1.3749
40594,-1.2053
40585,-0.7609
40574,0.685
40563,-0.0323
40552,-0.0609
40541,0.6695
40530,-0.8533
40520,-1.3662
40519,1.3104
40509,1.2218
40498,-0.7406
40487,0.4033
40476,-0.0594
40465,-0.3724
40454,0.6405
40445,1.4332
40443,-1.0965
40432,1.3033
40423,0.7516
40412,-0.8559
40401,0.0142
40390,-0.1242
40379,-0.7199
40368,0.5875
40359,1.466
40357,-1.4026
40348,-1.3513
40346,1.3653
40337,0.7143
40326,-0.6264
40315,0.0317
40304,0.1392
40293,-0.6526
40282,0.8985
40273,1.5554
40271,-1.3979
40262,-0.9288
40251,0.9103
40240,-0.195
40229,0.2048
40218,0.5685
40207,-0.5105
40198,-1.4933
40196,1.3796
40187,1.42
40185,-1.1752
40176,-0.7944
40165,0.7411
40154,-0.0552
40143,0.0039
40132,0.6541
40121,-0.7792
40112,-1.367
40110,1.3017
40101,1.3024
40099,-1.5245
40090,-0.7405
40079,0.4811
40068,-0.06
40057,-0.2975
40046,0.635
40037,1.4941
40035,-1.0281
40024,1.2925
40015,0.8105
40004,-0.8805
39993,0.0698
39982,-0.1577
39971,-0.6693
39960,0.548
39951,1.4777
39949,-1.3621
39940,-1.4238
39938,1.321
39929,0.7224
39918,-0.7083
39907,0.0364
39896,0.0531
39885,-0.6533
39874,0.8156
39865,1.5624
39863,-1.4014
39854,-0.9988
39852,1.5157
39843,0.9195
39832,-0.2642
39821,0.2176
39810,0.5035
39799,-0.4927
39790,-1.5449
39789,1.3171
39779,1.4584
39778,-1.1521
39768,-0.8361
39758,0.7902
39747,-0.0858
39736,0.062
39725,0.6319
39714,-0.7099
39705,-1.3704
39703,1.2875
39694,1.3815
39692,-1.4482
39683,-0.7421
39672,0.558
39661,-0.0598
39650,-0.2214
39639,0.6325
39628,-0.9564
39618,1.2865
39608,0.8766
39598,-0.8974
39587,0.1323
39576,-0.1846
39565,-0.6127
39554,0.515
39545,1.4945
39543,-1.3152
39534,-1.4918
39532,1.2823
39523,0.7358
39512,-0.785
39501,0.0469
39490,-0.027
39479,-0.6502
39469,0.736
39458,-1.4024
39449,-1.0709
39447,1.4394
39438,0.9254
39427,-0.3386
39416,0.2245
39405,0.4325
39394,-0.4809
39383,1.2482
39374,1.4904
39373,-1.1353
39363,-0.885
39353,0.8335
39342,-0.1229
39331,0.1143
39320,0.6032
39309,-0.6466
39300,-1.3768
39298,1.2686
39289,1.457
39287,-1.3762
39278,-0.7455
39268,0.6331
39257,-0.0611
39246,-0.1459
39235,0.6297
39224,-0.8849
39213,1.2815
39204,0.9476
39193,-0.9084
39183,0.2032
39172,-0.2045
39161,-0.547
39150,0.4896
39141,1.5192
39139,-1.2597
39130,-1.5528
39128,1.2512
39119,0.7549
39108,-0.8568
39098,0.0613
39087,-0.1029
39076,-0.6429
39065,0.6596
39054,-1.4005
39045,-1.1432
39043,1.3656
39034,0.9295
39024,-0.4138
39013,0.2281
39002,0.3575
38991,-0.4736
38980,1.174
38971,1.516
38970,-1.1237
38961,-0.9415
38950,0.869
38939,-0.1674
38928,0.1598
38917,0.5673
38906,-0.59
38897,-1.3891
38896,1.2417
38887,1.5277
38885,-1.3114
38876,-0.7531
38865,0.7047
38854,-0.065
38843,-0.0714
38833,0.6274
38822,-0.8111
38811,1.2789
38802,1.0243
38791,-0.914
38780,0.2792
38770,-0.2186
38759,-0.4766
38748,0.4697
38737,-1.1992
38727,1.2266
38718,0.7813
38707,-0.9208
38696,0.0825
38685,-0.1715
38674,-0.6296
38664,0.5893
38653,-1.3932
38644,-1.2163
38642,1.2944
38633,0.9323
38622,-0.4912
38612,0.229
38601,0.2795
38590,-0.471
38579,1.0949
38569,-1.117
38560,-1.0038
38549,0.898
38538,-0.2191
38527,0.198
38517,0.525
38506,-0.5401
38497,-1.4062
38495,1.2097
38484,-1.253
38475,-0.7653
38465,0.7729
38454,-0.0731
38443,0
38432,0.6207
38422,-0.7398
38411,1.2745
38402,1.1044
38400,-1.5359
38391,-0.9157
38381,0.3613
38370,-0.2268
38359,-0.3984
38348,0.4574
38338,-1.1319
38327,1.2085
38318,0.8141
38307,-0.9777
38296,0.1102
38286,-0.2343
38275,-0.6104
38264,0.5243
38254,-1.38
38245,-1.2869
38243,1.2284
38234,0.9353
38223,-0.5683
38213,0.2292
38202,0.2002
38191,-0.4694
38180,1.0124
38170,-1.1135
38161,-1.0719
38150,0.9211
38139,-0.2772
38129,0.229
38118,0.4746
38107,-0.4982
38098,-1.4306
38097,1.1695
38086,-1.2026
38077,-0.7844
38066,0.8355
38056,-0.0858
38045,0.0694
38034,0.6119
38024,-0.6688
38013,1.2687
38004,1.1875
38002,-1.4667
37993,-0.914
37983,0.4456
37972,-0.2317
37961,-0.3178
37951,0.4495
37940,-1.0596
37929,1.1964
37920,0.8541
37910,-1.0262
37899,0.1455
37888,-0.2879
37878,-0.5842
37867,0.466
37856,-1.36
37848,-1.3552
37846,1.1677
37837,0.9413
37826,-0.6445
37816,0.2295
37805,0.1201
37794,-0.4691
37784,0.9278
37773,-1.1128
37764,-1.1456
37753,0.9377
37743,-0.3407
37732,0.2531
37722,0.419
37711,-0.4637
37702,-1.4606
37700,1.1243
37690,-1.1588
37681,-0.8094
37670,0.8927
37659,-0.1063
37649,0.1332
37638,0.5961
37628,-0.6021
37617,1.2582
37608,1.2714
37606,-1.3992
37597,-0.9108
37587,0.5345
37576,-0.2327
37566,-0.2322
37555,0.4467
37544,-0.9828
37534,1.1902
37525,0.9003
37514,-1.0673
37504,0.187
37493,-0.3338
37482,-0.5506
37472,0.4152
37461,-1.3337
37452,-1.4198
37451,1.1127
37442,0.9505
37431,-0.7181
37421,0.2324
37410,0.0401
37399,-0.4676
37389,0.8427
37378,-1.1117
37369,-1.222
37359,0.949
37348,-0.4092
37338,0.2711
37327,0.3569
37317,-0.437
37308,-1.4993
37306,1.0711
37295,-1.1239
37286,-0.8424
37276,0.9438
37265,-0.133
