SunAltitude,SunAzimuth
74,344
76,21
60,151
25,74
10,281
29,55
60,265
84,120
43,321
59,214
87,151
79,29
36,142
22,42
0,222
0,114
0,327
67,340
59,197
70,170
76,6
0,167
15,2
0,150
30,139
59,19
84,165
80,196
47,341
32,207
0,111
0,285
0,58
58,163
53,15
78,345
83,191
21,286
33,209
0,191
0,341
0,351
62,189
70,348
77,16
65,157
25,77
0,290
0,47
0,256
0,130
36,321
58,213
89,330
80,30
42,142
25,46
0,231
0,105
0,318
65,335
55,205
72,166
79,10
0,157
25,8
0,162
19,87
59,15
79,167
80,193
54,344
32,202
0,98
0,298
0,72
54,160
51,18
82,344
85,194
27,312
37,209
0,180
0,351
0,340
61,185
66,352
77,11
69,164
26,77
0,38
0,247
0,139
27,319
58,210
85,331
80,30
48,142
27,49
0,240
0,96
0,308
0,77
62,330
52,212
74,162
82,15
0,147
32,12
0,173
0,13
59,10
74,170
80,190
60,348
31,198
0,85
0,311
0,86
49,157
49,21
85,343
87,196
33,323
40,209
0,169
0,1
0,328
59,180
62,356
78,6
73,170
27,69
0,28
0,237
0,149
11,313
58,208
80,333
80,29
53,143
28,53
0,249
0,87
0,299
0,86
59,327
50,217
76,158
85,19
11,148
37,17
0,185
0,3
59,4
69,173
80,186
66,351
31,193
0,71
0,323
0,101
44,154
48,23
89,342
88,197
38,329
43,208
0,157
0,12
0,315
57,176
58,1
80,0
77,176
29,41
0,19
0,227
0,159
0,307
58,204
75,335
80,28
58,145
28,57
0,258
0,79
0,290
0,95
55,324
48,220
79,155
87,23
21,148
40,21
0,195
0,352
0,34
59,357
64,178
80,182
71,355
31,188
0,335
0,115
38,149
47,25
88,162
89,198
44,334
44,207
0,145
0,250
0,24
0,302
54,172
55,5
81,356
80,181
32,1
18,29
0,218
0,170
0,316
58,200
71,338
80,26
63,148
29,60
0,267
0,70
0,281
0,104
50,322
46,222
83,153
88,27
29,146
43,25
0,205
0,342
0,43
58,349
58,185
81,178
76,359
31,183
9,350
0,129
31,141
47,25
83,162
89,198
49,337
45,205
0,133
0,263
0,36
0,288
50,168
52,9
84,352
83,185
35,342
27,189
0,208
0,181
0,325
58,196
66,341
80,22
68,152
29,63
0,275
0,61
0,272
0,113
45,321
45,221
87,151
90,35
36,145
46,28
0,215
0,120
0,333
0,52
57,341
53,195
81,173
81,3
32,177
24,358
0,142
21,117
47,25
79,163
90,199
54,340
46,203
0,120
0,277
0,49
0,274
46,164
49,13
86,348
86,189
38,336
33,202
0,198
0,192
0,334
0,359
57,192
61,345
80,18
73,157
29,65
0,284
0,53
0,262
0,123
38,320
44,219
89,331
89,207
42,144
47,31
0,225
0,111
0,323
0,62
55,334
49,206
82,168
85,8
33,172
33,3
0,155
0,33
0,357
47,23
75,165
90,201
59,343
46,201
0,106
0,290
0,62
0,260
41,159
47,17
89,347
88,192
42,335
38,205
0,187
0,203
0,344
0,348
57,187
56,349
81,14
77,162
30,64
18,82
0,253
0,132
30,319
44,217
84,331
89,209
48,144
48,34
0,234
0,102
0,314
0,71
53,327
44,217
84,164
89,14
35,167
40,8
0,167
0,22
0,7
46,18
70,167
90,199
64,346
46,197
0,93
0,303
0,76
0,246
34,154
45,20
87,163
90,174
46,335
42,206
0,176
0,215
0,354
0,336
56,183
51,353
81,9
81,167
31,58
28,111
0,244
0,142
19,316
44,213
79,332
88,210
54,144
49,36
0,243
0,93
0,305
0,80
50,322
40,227
86,160
88,196
37,162
45,12
0,178
0,11
0,17
46,12
65,170
90,201
69,349
46,194
0,316
0,90
0,232
26,144
44,23
84,162
89,17
50,336
45,206
0,165
0,228
0,5
0,324
54,178
47,357
82,3
85,173
32,42
36,138
0,234
0,152
0,302
44,209
74,333
88,209
60,146
49,38
0,252
0,85
0,295
0,89
46,319
36,233
88,155
85,201
40,158
49,16
0,189
0,144
0,0
0,27
45,2
61,174
90,349
74,353
46,190
0,328
0,105
0,219
12,114
43,26
80,162
88,18
54,337
47,206
0,153
0,241
0,16
0,311
52,174
42,2
84,358
89,178
34,16
41,160
0,225
0,162
0,310
0,24
44,205
69,336
88,207
66,148
49,39
0,260
0,76
0,286
0,99
42,316
32,237
89,336
83,205
43,154
53,20
0,199
0,135
0,350
0,36
44,350
56,181
90,1
78,356
47,185
0,339
0,119
0,206
0,66
42,28
75,161
87,18
59,339
48,205
0,141
0,254
0,298
49,170
38,7
86,354
88,2
37,355
46,174
0,215
0,173
0,319
0,15
44,201
63,339
88,205
71,152
49,39
0,68
0,277
0,108
37,314
29,238
86,332
81,207
47,151
55,24
0,209
0,125
0,340
0,46
43,336
51,190
89,357
83,0
47,181
21,355
0,132
0,194
0,54
42,28
71,161
87,18
63,341
49,203
0,128
0,268
0,284
45,166
34,12
88,351
85,6
40,344
50,184
0,205
0,183
0,329
0,5
45,196
57,342
88,201
77,156
49,38
10,78
0,268
0,117
30,312
26,236
83,331
79,209
51,149
58,27
0,219
0,116
0,330
0,55
40,323
46,202
88,352
87,5
48,176
31,0
0,146
0,182
0,41
42,28
66,162
87,16
68,343
50,201
0,115
0,281
0,270
41,162
31,17
89,166
83,10
44,339
54,191
0,194
0,195
0,338
0,354
44,191
51,346
88,197
82,160
49,35
26,107
0,259
0,127
21,308
24,233
79,330
78,210
55,147
59,30
0,228
0,107
0,321
0,64
37,312
42,215
87,347
90,186
49,172
39,5
0,158
0,171
0,29
0,0
42,25
61,162
86,14
73,345
50,199
0,102
0,294
0,255
36,156
28,23
86,165
81,13
48,338
57,195
0,184
0,206
0,348
0,343
44,187
45,350
88,192
87,166
49,30
35,127
0,250
0,136
0,287
0,50
23,229
75,331
77,210
60,147
60,32
0,237
0,99
0,311
0,74
33,302
37,228
85,342
86,194
51,167
45,10
0,170
0,161
0,18
0,11
42,19
56,164
86,11
77,347
51,195
16,330
0,241
28,149
26,29
82,163
79,15
52,338
59,198
0,173
0,219
0,358
0,331
42,182
38,354
87,187
89,349
49,23
42,144
0,146
0,295
0,41
22,223
70,332
77,209
64,147
61,33
0,90
0,302
0,83
27,294
33,237
83,338
83,199
53,163
50,14
0,181
0,151
0,7
0,21
41,10
50,167
86,8
82,350
51,192
27,342
0,227
18,132
24,35
78,162
78,17
57,338
60,200
0,161
0,231
0,9
0,319
41,177
31,359
87,182
84,354
50,13
48,158
0,156
0,304
0,31
21,218
65,334
77,207
69,149
62,34
0,81
0,293
0,92
19,283
29,242
80,334
81,203
55,159
54,18
0,192
0,141
0,357
0,30
41,357
45,173
86,4
86,353
51,188
36,348
0,214
0,74
23,41
74,161
77,18
61,339
62,201
0,245
0,306
38,172
23,4
85,177
80,359
51,3
54,170
0,166
0,313
0,22
21,212
61,337
77,205
74,151
62,33
0,73
0,101
0,255
26,244
77,332
78,206
58,156
57,21
0,202
0,132
0,40
40,341
39,185
86,359
90,180
52,184
42,353
0,202
0,61
0,331
23,47
69,161
77,19
66,341
63,201
0,258
0,292
35,167
11,13
84,173
77,3
52,354
58,178
0,177
0,322
0,12
20,206
55,340
77,202
78,155
62,32
0,64
0,110
0,264
23,244
74,330
77,209
62,153
60,25
0,212
0,122
0,49
38,325
33,212
85,354
86,182
52,179
48,357
0,190
0,48
0,343
23,52
63,160
76,18
71,342
63,200
0,272
0,278
31,162
0,32
82,169
73,7
54,348
62,185
0,188
0,332
0,2
19,200
50,343
77,198
83,159
62,30
21,100
0,120
0,272
20,242
70,329
75,210
65,151
62,28
0,222
0,113
0,58
36,312
26,255
84,349
82,187
53,175
53,2
0,179
0,36
0,354
24,56
57,160
76,17
77,344
63,198
10,308
0,264
25,155
0,44
79,167
70,10
56,344
65,190
0,200
0,341
0,351
18,194
44,347
77,194
88,164
62,26
32,121
0,129
0,281
18,238
66,329
74,211
69,150
64,30
0,231
0,105
0,67
32,301
19,285
82,344
79,192
55,170
57,6
0,168
0,25
0,4
24,58
51,160
76,15
82,346
63,196
25,332
0,250
17,142
0,57
76,164
68,13
59,341
68,193
0,211
0,351
0,340
15,187
38,351
76,189
88,346
62,21
41,138
0,139
0,290
0,47
17,232
61,329
73,210
73,149
65,31
0,96
0,76
28,292
8,305
80,339
76,197
57,166
61,10
0,158
0,13
0,14
25,58
44,161
76,12
87,348
63,193
34,341
0,236
0,97
0,298
0,71
73,163
66,16
62,340
70,196
0,224
0,328
9,180
31,356
76,185
84,352
63,14
47,152
0,149
0,298
0,38
16,226
56,331
73,209
77,150
66,32
18,116
0,86
21,283
0,308
78,335
73,202
59,162
65,14
0,148
0,3
0,24
25,48
37,162
76,8
88,171
63,190
42,346
0,222
0,84
0,311
0,85
69,161
65,18
66,340
72,198
0,237
7,297
0,169
23,1
75,180
80,356
63,7
53,164
0,159
0,307
0,28
15,220
51,333
73,206
81,152
67,32
28,124
0,95
8,265
0,299
75,332
70,207
62,158
68,18
0,138
0,34
24,285
27,167
76,3
83,174
63,186
49,351
0,209
0,71
0,323
0,100
65,160
64,20
70,341
73,199
0,250
15,253
0,158
13,8
73,176
76,1
64,0
58,174
0,169
0,316
0,19
15,213
45,335
